UV_treatment,UV_1_0,mass_at_start,mass_week_two,number_of_days,growth_rate,log_growth_rate_plus1,development_time,log_development_time,massa_emergence,sex,sex_1_0,mass_exuvia,total_mass,melanineconcentration_exuvia_per_mass,melanincontent_per_length,sqrt_melanincontent_per_length,PO_per_mg,hemocyte_average_per_mg,log_hemocyte_average_per_mg
UV,1,27.06,32.76,13,0.014703972,0.00633936,25,1.397940009,24.65,v,0,0.64,25.29,2.144530086,0.195453476,0.442101206,6.647058824,0.356997972,0.305274886
controle,0,27.93,31.74,13,0.009836641,0.004251125,26,1.414973348,26.22,v,0,0.61,26.83,2.397231755,0.457686321,0.676525182,3.686117468,0.579710145,0.457241378
UV,1,25.83,30.94,13,0.013885634,0.005988969,25,1.397940009,25.39,m,1,0.67,26.06,2.028548804,0.226333485,0.475745189,6.305632139,1.236707365,0.805004858
controle,0,22.81,30.32,13,0.021892963,0.009405409,20,1.301029996,21.23,m,1,0.65,21.88,2.134518761,0.283227549,0.532191271,6.1328309,0.301460198,0.263486863
UV,1,26.93,30.98,13,0.010776994,0.004655349,28,1.447158031,25.21,v,0,0.59,25.8,1.835412535,0.083494513,0.288954171,5.01586672,0.682268941,0.520143442
controle,0,26.56,33.85,13,0.01865636,0.008027701,20,1.301029996,24.23,v,0,0.58,24.81,2.439855896,0.4589962,0.677492583,6.376392901,0.371440363,0.315861548
UV,1,27.88,35.87,13,0.019383977,0.008337803,23,1.361727836,25.26,v,0,0.77,26.03,2.423650701,0.108080907,0.328756608,8.020585907,0.577988915,0.456151198
controle,0,30.71,33.4,13,0.006459044,0.002796107,26,1.414973348,26.34,v,0,0.66,27,2.478915148,0.385688686,0.621038393,3.208048595,0.569476082,0.450741858
controle,0,22.74,27.83,13,0.015537622,0.006696017,23,1.361727836,22.26,m,1,0.59,22.85,1.875832021,0.213371222,0.461921229,5.613207547,0.449236298,0.371036727
UV,1,25.49,30.81,13,0.014581007,0.006286728,23,1.361727836,22.48,m,1,0.63,23.11,2.556864433,0.326644167,0.571527923,7.435498221,2.669039146,1.299929815
controle,0,24.32,30.13,13,0.016478638,0.007098256,23,1.361727836,22.87,m,1,0.68,23.55,2.225040084,0.367494237,0.606213029,6.023174464,0.236117184,0.211975164
UV,1,26.85,31.3,13,0.011796329,0.005093099,25,1.397940009,23.99,v,0,0.72,24.71,2.294643602,0.362477178,0.602060776,7.305127136,0.466861192,0.383124874
controle,0,28.58,31.14,13,0.006598923,0.002856461,30,1.477121255,25.48,v,0,0.61,26.09,2.107099524,0.202505333,0.450005926,4.572213501,0.580847724,0.457961237
UV,1,23.15,28.03,13,0.014713891,0.006343606,25,1.397940009,22.72,m,1,0.6,23.32,2.113776407,0.088862468,0.298098084,5.831866197,1.161971831,0.77102069
